,Algorithm,Alpha,Trial,Min_Error,Min_Error_Idx,Sum_Error
282,ADMM,150.0,15,0.16429971505461224,1515,732.5456281241572
283,ADMM,155.0,15,0.16486435617785028,1582,727.9075756447
284,ADMM,160.0,15,0.16509838660046128,1641,723.5026857888664
285,ADMM,175.0,15,0.16558165079971549,1656,712.567872826762
286,ADMM,200.0,15,0.16719567925296683,1757,697.838261078392
287,ADMM,225.0,15,0.16919228076400636,1949,687.1460254070378
288,MPPS,1.0,16,0.26765503025074644,799,941.0953251185556
289,MPPS,5.0,16,0.17719939238652757,417,380.2795569665708
290,MPPS,10.0,16,0.19532507404981517,532,323.6725789167273
291,MPPS,15.0,16,0.21229306992905722,714,316.742370953222
292,MPPS,20.0,16,0.22778658931468682,799,320.2262319794422
293,MPPS,25.0,16,0.23935480792521896,559,320.6518241400572
294,ADMM,1.0,16,3.0500021215481414,2399,7924.51551196575
295,ADMM,10.0,16,1.5183372956036545,2399,5618.021977258239
296,ADMM,100.0,16,0.16810677718545855,2190,1477.0645215944653
297,ADMM,125.0,16,0.17243042854552762,2072,1340.0780889950559
298,ADMM,140.0,16,0.17705224368769001,1964,1286.0559988063824
299,ADMM,145.0,16,0.17700474182163706,1967,1270.7847257820185
300,ADMM,150.0,16,0.17722643439678043,1994,1256.5001501676015
301,ADMM,155.0,16,0.1779993403792142,2002,1242.971615906138
302,ADMM,160.0,16,0.17856755394137977,2003,1230.5681582917457
303,ADMM,175.0,16,0.18151496053313643,2027,1199.8579581332583
304,ADMM,200.0,16,0.18915732079324987,2100,1161.9160566192045
305,ADMM,225.0,16,0.1942510600238732,2060,1134.378621780837
306,MPPS,1.0,17,0.15670699457272746,317,453.4874296714846
307,MPPS,5.0,17,0.1580354663775499,164,263.92195879199227
308,MPPS,10.0,17,0.16537223597695896,139,239.56240546587196
309,MPPS,15.0,17,0.17116797881400472,317,229.0847548568111
310,MPPS,20.0,17,0.17334450932729512,334,226.44719152921047
311,MPPS,25.0,17,0.175303529962609,562,226.47832939917487
312,ADMM,1.0,17,2.5419648530459744,2399,7203.616913729982
313,ADMM,10.0,17,0.63472248804173,2399,3673.2121136095952
314,ADMM,100.0,17,0.16034126543491997,499,911.0254521270073
315,ADMM,125.0,17,0.15954773182947066,679,876.2273825468761
316,ADMM,140.0,17,0.15995242462242099,670,858.3537385704612
317,ADMM,145.0,17,0.16265717077520642,667,852.8653450527461
318,ADMM,150.0,17,0.16592100327841333,669,847.236554878747
319,ADMM,155.0,17,0.16636067078767097,829,841.2836997527727
320,ADMM,160.0,17,0.16662465870575324,840,835.5336774120844
321,ADMM,175.0,17,0.16556821015943027,1003,819.4390408684642
322,ADMM,200.0,17,0.1621615305260923,1124,795.7543522752018
323,ADMM,225.0,17,0.16365263763105778,1171,775.9913049072217
324,MPPS,1.0,18,0.14625163104431,281,264.0190040717813
325,MPPS,5.0,18,0.15184554336290604,298,197.80397963318035
326,MPPS,10.0,18,0.1577058995113568,571,195.79726315945197
327,MPPS,15.0,18,0.1651117187643812,228,199.88014805642405
328,MPPS,20.0,18,0.1758246646698172,203,202.88217461773542
329,MPPS,25.0,18,0.17937135081037414,369,204.58222552240954
330,ADMM,1.0,18,1.6499698054148157,2399,5619.435646712021
331,ADMM,10.0,18,0.13634761285779304,1933,1571.917562582877
332,ADMM,100.0,18,0.140971910358842,1371,631.8916814730377
333,ADMM,125.0,18,0.14554946339199545,1494,626.0655987681835
334,ADMM,140.0,18,0.1465541022892762,1793,623.6518047700271
335,ADMM,145.0,18,0.14555322516176777,1769,622.635223587667
336,ADMM,150.0,18,0.1460953842367024,1849,621.8084104460756
337,ADMM,155.0,18,0.14617395207164588,1903,621.3047955675106
338,ADMM,160.0,18,0.14659938084320334,1960,620.9219484384581
339,ADMM,175.0,18,0.14817517928499188,2022,620.751729367325
340,ADMM,200.0,18,0.14972735981027155,2074,621.521622677415
341,ADMM,225.0,18,0.15287408306080877,2276,622.8356257132968
342,MPPS,1.0,19,0.14622164861733913,348,369.87447262914725
343,MPPS,5.0,19,0.1545645116671117,179,239.6319798166264
344,MPPS,10.0,19,0.17194105510951987,256,236.84283793647177
345,MPPS,15.0,19,0.19402964408003967,276,242.31696154962674
346,MPPS,20.0,19,0.20521181369023336,762,249.66377573939806
347,MPPS,25.0,19,0.214412290804761,799,255.89456967869094
348,ADMM,1.0,19,2.1987206101456893,2399,6774.942987863222
349,ADMM,10.0,19,0.3780852168732215,2399,2712.6274660484196
350,ADMM,100.0,19,0.16392133512916543,860,809.5046971563345
351,ADMM,125.0,19,0.16452659721645777,998,789.0417021543182
352,ADMM,140.0,19,0.16616189003818016,949,782.2756213295979
353,ADMM,145.0,19,0.16738972926630416,980,780.6786909725522
354,ADMM,150.0,19,0.16849311056506291,1025,779.3848384749712
355,ADMM,155.0,19,0.16902273337169935,823,778.2712097894237
356,ADMM,160.0,19,0.1691646274631531,821,777.4339863236089
357,ADMM,175.0,19,0.17087017492489517,836,776.4909135206572
358,ADMM,200.0,19,0.17330181122117885,994,776.8691176355492
359,ADMM,225.0,19,0.17883762843712545,1031,777.0258196797313
360,MPPS,1.0,20,0.17090064229373153,183,327.884686585306
361,MPPS,5.0,20,0.17196059027812596,265,211.74296647193935
362,MPPS,10.0,20,0.16441150491223516,226,200.39326785754574
363,MPPS,15.0,20,0.1676049608345603,380,197.48143760109997
364,MPPS,20.0,20,0.16930139527132876,455,195.94950821956138
365,MPPS,25.0,20,0.17038972904764388,589,195.0099802718735
366,ADMM,1.0,20,2.1002982230426896,2399,6293.054277526239
367,ADMM,10.0,20,0.1391680813441607,2313,2132.7200348991755
368,ADMM,100.0,20,0.15982979162848254,2259,676.0862606308795
369,ADMM,125.0,20,0.16407133538502552,2399,649.8719300388796
370,ADMM,140.0,20,0.1651690432613724,2375,641.0727457605744
371,ADMM,145.0,20,0.16599776608906788,2399,638.8431223114289
372,ADMM,150.0,20,0.1676802213818589,2399,637.0208204949228
373,ADMM,155.0,20,0.16897726091864512,2399,635.4914921833257
374,ADMM,160.0,20,0.1699613007140547,2387,633.9356498514785
375,ADMM,175.0,20,0.1710488653864633,1000,629.6728266872113
376,ADMM,200.0,20,0.1708975558594284,1042,623.3631991305544
377,ADMM,225.0,20,0.17278114473304435,1822,619.009227451355
378,MPPS,1.0,21,0.42080317884588536,799,1195.5176160191577
379,MPPS,5.0,21,0.21104867266215874,319,528.0577283309835
380,MPPS,10.0,21,0.2343915444810666,265,453.4337870545761
381,MPPS,15.0,21,0.2742601848088422,240,434.1068328513099
382,MPPS,20.0,21,0.2925513233666012,196,433.0451396786175
383,MPPS,25.0,21,0.31961929732132766,183,440.42977233751634
384,ADMM,1.0,21,3.2843516111706808,2399,8498.943658593636
385,ADMM,10.0,21,2.075376606574591,2399,6470.754650645786
386,ADMM,100.0,21,0.2419647424895823,1709,2071.3249774960436
387,ADMM,125.0,21,0.23739602460256382,1441,1910.9650658751084
388,ADMM,140.0,21,0.23382607933279567,1366,1845.3401578659455
389,ADMM,145.0,21,0.23231148742554322,1348,1826.2984551499653
390,ADMM,150.0,21,0.2317132252295359,1362,1808.362472115811
391,ADMM,155.0,21,0.23277237140860013,1366,1791.0401084118018
392,ADMM,160.0,21,0.23618951183517187,1326,1774.727184255155
393,ADMM,175.0,21,0.2445217458111879,1314,1729.6014539269604
394,ADMM,200.0,21,0.25638265521452214,1182,1672.6582432312944
395,ADMM,225.0,21,0.26281501188725664,1155,1631.3698410202396
396,MPPS,1.0,22,0.351847228376418,635,776.422581255997
397,MPPS,5.0,22,0.24541550796397166,188,436.0410120645795
398,MPPS,10.0,22,0.253222678718467,143,405.02701653208567
399,MPPS,15.0,22,0.3038129294081846,146,398.19786872997076
400,MPPS,20.0,22,0.33211026522178266,129,393.5092941067952
401,MPPS,25.0,22,0.34291354988766404,123,391.222893655973
402,ADMM,1.0,22,3.126944954076722,2399,8296.058171141045
403,ADMM,10.0,22,1.260318595387792,2399,5096.781012681553
404,ADMM,100.0,22,0.28553236827678513,965,1597.4201507614505
405,ADMM,125.0,22,0.2868159870301973,789,1495.1646311766744
406,ADMM,140.0,22,0.28350661467471633,752,1450.0527670648712
407,ADMM,145.0,22,0.2833584221693157,750,1437.248198502216
408,ADMM,150.0,22,0.28309980221527226,728,1425.2619496653601
409,ADMM,155.0,22,0.28247388630634385,723,1414.2468605965764
410,ADMM,160.0,22,0.2822858925815147,716,1404.0738224889565
411,ADMM,175.0,22,0.28406665705994677,701,1379.2505639505455
412,ADMM,200.0,22,0.29032824621767445,606,1349.6608348020436
413,ADMM,225.0,22,0.285415453481377,573,1329.8675357456395
414,MPPS,1.0,23,0.18559272681263436,377,440.9296751643391
415,MPPS,5.0,23,0.19035358614091172,98,281.9302819960664
416,MPPS,10.0,23,0.18341612928342804,184,249.72649229597138
417,MPPS,15.0,23,0.18134814685582354,181,234.81252801341566
418,MPPS,20.0,23,0.1805310391279261,198,227.45205772446883
419,MPPS,25.0,23,0.18114966058633641,247,223.6516450596037
420,ADMM,1.0,23,2.2976128900500883,2399,6740.619766833183
421,ADMM,10.0,23,0.43470187755529194,2399,3116.26011247419
422,ADMM,100.0,23,0.1870973610266484,2373,936.6191747304208
423,ADMM,125.0,23,0.1895174181734101,2396,898.6429803370977
424,ADMM,140.0,23,0.19648949785208544,2399,881.361353536394
