nf,rand,s,xnorm,IP_Deviation,IP_Mean_Deviation,MPPS_Deviation,MPPS_Mean_Deviation,MPPS_Deviation_Dist,MPPS_Mean_Deviation_Dist
0.05,uniform,960,4.7448169288058155,0.12760488873942719,0.019416072594480485,0.14736762504041456,0.021923344295008772,0.14785289424421158,0.02220933908183276
0.05,uniform,961,4.043337734833986,0.16057147329218177,0.022741704290394946,0.14726787235813626,0.020642754515768136,0.1504811505505337,0.02085876632919942
0.05,uniform,962,5.026709464182098,0.13398325716253107,0.020228307195446268,0.11968904651015393,0.019636359685337366,0.12658833539201536,0.020943692774656884
0.05,uniform,963,4.9561966311699015,0.2503586918275957,0.03636016659828028,0.25949656442833513,0.03463087160086634,0.2630799335692609,0.03515255118381064
0.05,uniform,964,4.349324184886754,0.13750866409170964,0.02251132307082145,0.11061122721499607,0.016920985206180347,0.11001482865551972,0.016695624609465134
0.05,uniform,965,4.307010306931812,0.12423235496661089,0.019577181064502586,0.10198818889819859,0.015804076015246585,0.09941209168710965,0.01556361085885873
0.05,uniform,966,4.596732935967075,0.16348048952004374,0.022578644426943927,0.1695037149448528,0.024641882971761002,0.17038696269621417,0.02496514772474928
0.05,uniform,967,3.7836099414849165,0.12238198967547421,0.019611386677902107,0.10997187938321966,0.0176717089171494,0.11158623919341983,0.01781586389420022
0.05,uniform,968,3.9309606320909403,0.1472463642698377,0.023098376681424844,0.12781612362913228,0.02033840324086999,0.12837467905437452,0.0204804561156813
0.05,uniform,969,4.597452678575858,0.13248156961114482,0.02166747697467409,0.13451745436112988,0.022042094876770668,0.13641109320165018,0.0223581476130755
0.05,uniform,970,4.417063124017144,0.1492551199485694,0.02159017076984714,0.11706220390859318,0.016776987509571847,0.12632894406266498,0.018335067831405902
0.05,uniform,971,4.716531977661584,0.2135532484584323,0.0312662407043379,0.1868388443917791,0.02641989323110622,0.1850050074597035,0.026501669050844848
0.05,uniform,972,4.687860999872247,0.13506830736455513,0.019998357370994375,0.11679548702929539,0.017267805989821264,0.11813139853163353,0.01749566010232855
0.05,uniform,973,4.415250922125742,0.14562573462860168,0.023669358879299537,0.12680179823304868,0.019378854142915965,0.13076268468789481,0.02007280547769249
0.05,uniform,974,4.243854882641627,0.15804668946288214,0.024015295400478514,0.13573109860688023,0.020225338963458222,0.137774178717939,0.020867148040542696
0.05,uniform,975,4.478963522609769,0.12357521362238945,0.01950433788181026,0.12900093074755709,0.01882580044086789,0.1290246188001622,0.018840773726432367
0.05,uniform,976,4.335815200452654,0.24056663215485885,0.026544890962572617,0.32511607411302745,0.028410055789495656,0.32826248746293357,0.02857043203150603
0.05,uniform,977,4.212200668196398,0.13395652172178762,0.020767768014900805,0.12949050648861907,0.01963458180842575,0.1304196242524455,0.019862940379525663
0.05,uniform,978,4.6266790875220645,0.2023251250855134,0.028344341559825535,0.2268393570393285,0.03074550373041674,0.22683855451663879,0.03084900955549342
0.05,uniform,979,4.272667443472716,0.13282206353038523,0.02066304848222874,0.11870266767390461,0.018324949014146125,0.1217476576784522,0.018717608913542832
0.05,uniform,980,4.453700392164378,0.13716261038482988,0.019699523963057592,0.1817567479755025,0.02417230190557335,0.18558974543570841,0.025276991821275574
0.05,uniform,981,4.557895458113321,0.15489027052159846,0.02354791239202294,0.15059917912963983,0.022398859863741773,0.16019773054336917,0.023860278869417027
0.05,uniform,982,4.8352758195009935,0.25630396402751815,0.03836493047147192,0.18462800478800998,0.028416986569257386,0.19470131793278836,0.030465421701316463
0.05,uniform,983,4.670665928627527,0.1298991132968896,0.01947725256593857,0.10394471035803973,0.015950478916159874,0.10419633871115445,0.01569182516541517
0.05,uniform,984,4.157407314246192,0.11595610077981419,0.017502253216675954,0.10610406480649824,0.01673976229790338,0.10903041119093326,0.017212815056347548
0.05,uniform,985,4.21313687693856,0.11092517756265452,0.017304540433735218,0.10736275686434239,0.01617004837658455,0.11001815327119534,0.01648625654904663
0.05,uniform,986,4.341336869997722,0.1270116426781112,0.01993778257589144,0.1421401604907113,0.020314120928714104,0.14387269044039538,0.020534426785803344
0.05,uniform,987,4.519013587224497,0.16617003072879763,0.02357745256357513,0.1453548655534928,0.021128394565385396,0.14746496762925212,0.021744008999849032
0.05,uniform,988,4.436845822153235,0.22919871862487923,0.031845440930528886,0.2298945644360259,0.030286130922182814,0.22955965022326494,0.03046376544012006
0.05,uniform,989,4.951987979958327,0.29190267497744343,0.027657840367171848,0.3284182051871467,0.029917813704260013,0.328092509091865,0.03002917857482495
0.05,uniform,990,4.200900416683676,0.1896028919620991,0.028272966927909097,0.22186407063451707,0.03174408471567001,0.2237736752734295,0.03215830959415381
0.05,uniform,991,4.740244087079726,0.17417988229358725,0.027214921781526253,0.15499120820279824,0.02340470662771292,0.16168948391528387,0.02450047829115829
0.05,uniform,992,4.734906251396315,0.12271162712685282,0.018115153880623368,0.10540768606064176,0.01550229430281037,0.11073636435939532,0.01661256939582808
0.05,uniform,993,3.7657730307297514,0.11847191316532327,0.018895083863004498,0.10915689624864183,0.016909270623911187,0.1154167641723693,0.018058006998379873
0.05,uniform,994,4.199628639020296,0.20483845672843845,0.029580319878268722,0.17033103983726455,0.02470056133998495,0.16793456008361238,0.024581096387694002
0.05,uniform,995,4.362133867961784,0.11534800370151008,0.017519678817974085,0.10223790940946739,0.015305421945423687,0.10530812399935513,0.015866336023752446
0.05,uniform,996,4.255834507892037,0.26779575775737213,0.03930026979622197,0.21811908007189734,0.030433213062855558,0.21880523208012737,0.030591302394885014
0.05,uniform,997,4.524087989428657,0.17241732046215585,0.026102413687900828,0.1646177393018433,0.02488310656843201,0.16651518344823787,0.025267889535016973
0.05,uniform,998,4.120170010208627,0.19246194365925698,0.027560961716113042,0.169784270805234,0.025060992225161442,0.17056797766728246,0.025288457545637123
0.05,uniform,999,4.921621773257386,0.1273459778947757,0.01982123332246942,0.12765151255853868,0.019467803207691276,0.12726934908933324,0.019269178252651488
